"WISKI_STATION_NO","WISKI_EQUIS_ID","WU_SYS_ID","WID","EQUIS_STATION_ID"
H26053001,S005-375,59333657,"07020005-559",S005-914
H03149002,S007-022,59328075,"04010201-552",S005-752
H03155003,,59328075,"04010201-552",S005-752
W26089001,,59333614,"07020005-517",S005-969
W26092001,,59333614,"07020005-517",S005-969
W26106001,S011-107,59333483,"07020005-694",S005-971
W51107001,,59339578,"07100001-501",S005-936
H79003001,,59342713,"09030008-506",S005-706
W09002001,,59330211,"07010103-603",S005-777
E09033001,,76964936,"07010103-754",S005-781
W18057001,,59331907,"07010204-572",S005-855
W83020001,,59342773,"10170204-520",S005-809
W15031002,S004-061,77132156,"07010201-653",S005-384
W33120002,S007-901,76716512,"07020012-809",S005-377
W41065001,S016-403,68414907,"07040004-991",S005-361
W23015002,,59332842,"07020002-556",S004-578
E28042001,,76595467,"07020007-723",S005-584
W02037013,,59327509,"04010102-540",S005-488
E33123001,,76716610,"07020012-811",S005-412
H11040001,S006-229,59330554,"07010105-514",S005-425
W33123002,,76716610,"07020012-811",S005-407
W18057003,S005-854,59331907,"07010204-572",S005-558
H41065002,S005-361,68414907,"07040004-991",S005-421
H02033001,,59327480,"04010102-511",S005-485
W02039013,,59327512,"04010102-543",S005-546
W02039016,,59327512,"04010102-543",S005-546
W02039030,,59327512,"04010102-543",S005-546
W02032005,,59327660,"04010102-698",S005-549
W28059001,S004-348,72895026,"07020007-684",S005-664
W28092001,,59334015,"07020007-571",S005-623
H28098001,S005-628,59334013,"07020007-569",S005-628
H36057001,S003-533,59334982,"07030004-567",S005-593
W36005001,S013-805,59335242,"07030004-508",S005-595
W36016001,,59334956,"07030004-541",S005-600
W26065001,,59333682,"07020005-584",S005-629
H41016001,S004-486,59337295,"07040004-554",S004-005
W38004001,,59335704,"07040001-518",S004-004
H16060001,S002-647,59331386,"07010202-552",S003-303
W42002004,,76961046,"07040006-576",S004-017
W42005002,S004-024,59337419,"07040006-511",S004-024
W37074003,,59335466,"07030005-574",S004-034
W15031004,,77132156,"07010201-653",S004-061
H60099001,S004-864,76792249,"09020108-644",S004-201
H39017003,,59335991,"07040002-552",S004-257
E17049001,,59556411,"07010203-702",S004-260
W40003002,,59336283,"07040003-592",S004-248
E20093001,,59332224,"07010206-539",S004-661
W39016002,,59335965,"07040002-526",S004-512
W39025004,,59335965,"07040002-526",S004-512
W17008005,,59331654,"07010203-511",S004-504
H09087001,,74051001,"07010103-708",S004-514
H55044003,S002-001,62210309,"09020102-582",S004-360
H02039008,S004-364,59327513,"04010102-544",S004-364
W02039013,,59327512,"04010102-543",S004-363
W02039012,S002-480,59327513,"04010102-544",S004-365
W41043002,S000-816,59337242,"07040004-501",S004-384
E63027001,S008-889,59340690,"09020303-541",S004-965
E65010002,S004-966,59340711,"09020304-509",S004-966
H39103002,S004-448,59335981,"07040002-542",S005-019
W03186002,,59328149,"04010201-626",S004-952
W03186006,,59328149,"04010201-626",S004-952
H02006003,S014-956,59327470,"04010102-501",S004-955
W02060001,,59327470,"04010102-501",S004-955
W02006007,,59327470,"04010102-501",S004-955
W02006010,,59327470,"04010102-501",S004-955
W02007006,,59327470,"04010102-501",S004-955
W02037001,,59327509,"04010102-540",S004-950
W02037011,,59327509,"04010102-540",S004-950
H33137002,S004-898,59334640,"07020012-513",S004-912
H12030004,,59330863,"07010106-558",S004-793
W12030006,,59330863,"07010106-558",S004-793
W12030014,,59330863,"07010106-558",S004-793
H12030017,,59330863,"07010106-558",S004-793
W39027001,,59335852,"07040002-706",S004-877
E38025002,,59335598,"07040001-692",S002-420
H38025004,,59335598,"07040001-692",S002-420
W38025007,,59335598,"07040001-692",S004-312
W38025009,,59335598,"07040001-692",S004-312
W21071001,S007-552,59332527,"07010207-504",S005-326
L25000100,,59335717,"07040001-531",S005-178
E38009001,,59335717,"07040001-531",S005-182
W38027004,,59335703,"07040001-517",S005-102
W38027005,,59335703,"07040001-517",S005-102
H38019002,S004-313,59335713,"07040001-527",S005-105
W04048003,,59328839,"04010202-501",S005-147
W56048003,,77131738,"09020103-768",S005-140
H56050002,,77131788,"09020103-773",S005-142
W18052003,,77299860,"07010204-757",S005-255
W33119001,S005-129,59334631,"07020012-505",S005-129
W33143012,S000-310,59334631,"07020012-505",S005-129
H15009001,,74052651,"07010201-631",S005-044
H12021001,S002-962,59331232,"07010106-681",S002-962
E23007001,S000-195,59333095,"07020002-501",S005-650
W23007003,S000-195,59333095,"07020002-501",S005-650
H67012001,S005-570,59341243,"09020306-520",S005-570
W61039002,,59340804,"09020301-537",S003-133
W40014002,,59336264,"07040003-573",S005-390
W40014003,,59336264,"07040003-573",S005-390
H30046001,S000-534,59334292,"07020009-553",S005-358
